Product,Class
Data\apple_1.jpg,1
Data\apple_2.jpg,1
Data\apple_3.jpg,1
Data\apple_4.jpg,1
Data\apple_5.jpg,1
Data\apple_6.jpg,1
Data\apple_7.jpg,1
Data\apple_8.jpg,1
Data\apple_9.jpg,1
Data\apple_10.jpg,1
Data\apple_11.jpg,1
Data\apple_12.jpg,1
Data\apple_13.jpg,1
Data\apple_14.jpg,1
Data\apple_15.jpg,1
Data\apple_16.jpg,1
Data\apple_17.jpg,1
Data\apple_18.jpg,1
Data\apple_19.jpg,1
Data\apple_20.jpg,1
Data\apple_21.jpg,1
Data\apple_22.jpg,1
Data\apple_23.jpg,1
Data\apple_24.jpg,1
Data\apple_25.jpg,1
Data\apple_26.jpg,1
Data\apple_27.jpg,1
Data\apple_28.jpg,1
Data\apple_29.jpg,1
Data\apple_30.jpg,1
Data\apple_31.jpg,1
Data\banana_1.jpg,2
Data\banana_2.jpg,2
Data\banana_3.jpg,2
Data\banana_4.jpg,2
Data\banana_5.jpg,2
Data\banana_6.jpg,2
Data\banana_7.jpg,2
Data\banana_8.jpg,2
Data\banana_9.jpg,2
Data\banana_10.jpg,2
Data\banana_11.jpg,2
Data\banana_12.jpg,2
Data\banana_13.jpg,2
Data\banana_14.jpg,2
Data\banana_15.jpg,2
Data\banana_16.jpg,2
Data\banana_17.jpg,2
Data\banana_18.jpg,2
Data\banana_19.jpg,2
Data\banana_20.jpg,2
Data\banana_21.jpg,2
Data\banana_22.jpg,2
Data\banana_23.jpg,2
Data\banana_24.jpg,2
Data\banana_25.jpg,2
Data\banana_26.jpg,2
Data\banana_27.jpg,2
Data\banana_28.jpg,2
Data\banana_29.jpg,2
Data\banana_30.jpg,2
Data\banana_31.jpg,2
Data\banana_32.jpg,2
Data\banana_33.jpg,2
Data\carrot_1.jpg,3
Data\carrot_2.jpg,3
Data\carrot_3.jpg,3
Data\carrot_4.jpg,3
Data\carrot_5.jpg,3
Data\carrot_6.jpg,3
Data\carrot_7.jpg,3
Data\carrot_8.jpg,3
Data\carrot_9.jpg,3
Data\carrot_10.jpg,3
Data\carrot_11.jpg,3
Data\carrot_12.jpg,3
Data\carrot_13.jpg,3
Data\carrot_14.jpg,3
Data\carrot_15.jpg,3
Data\carrot_16.jpg,3
Data\carrot_17.jpg,3
Data\carrot_18.jpg,3
Data\carrot_19.jpg,3
Data\carrot_20.jpg,3
Data\carrot_21.jpg,3
Data\carrot_22.jpg,3
Data\carrot_23.jpg,3
Data\carrot_24.jpg,3
Data\carrot_25.jpg,3
Data\carrot_26.jpg,3
Data\carrot_27.jpg,3
Data\carrot_28.jpg,3
Data\carrot_29.jpg,3
Data\carrot_30.jpg,3
Data\carrot_31.jpg,3
Data\carrot_32.jpg,3
Data\carrot_33.jpg,3
Data\orange_1.jpg,4
Data\orange_2.jpg,4
Data\orange_3.jpg,4
Data\orange_4.jpg,4
Data\orange_5.jpg,4
Data\orange_6.jpg,4
Data\orange_7.jpg,4
Data\orange_8.jpg,4
Data\orange_9.jpg,4
Data\orange_10.jpg,4
Data\orange_11.jpg,4
Data\orange_12.jpg,4
Data\orange_13.jpg,4
Data\orange_14.jpg,4
Data\orange_15.jpg,4
Data\orange_16.jpg,4
Data\orange_17.jpg,4
Data\orange_18.jpg,4
Data\orange_19.jpg,4
Data\orange_20.jpg,4
Data\orange_21.jpg,4
Data\orange_22.jpg,4
Data\orange_23.jpg,4
Data\orange_24.jpg,4
Data\orange_25.jpg,4
Data\orange_26.jpg,4
Data\orange_27.jpg,4
Data\orange_28.jpg,4
Data\orange_29.jpg,4
Data\orange_30.jpg,4
Data\strawbwerry_1.jpg,5
Data\strawbwerry_2.jpg,5
Data\strawbwerry_3.jpg,5
Data\strawbwerry_4.jpg,5
Data\strawbwerry_5.jpg,5
Data\strawbwerry_6.jpg,5
Data\strawbwerry_7.jpg,5
Data\strawbwerry_8.jpg,5
Data\strawbwerry_9.jpg,5
Data\strawbwerry_10.jpg,5
Data\strawbwerry_11.jpg,5
Data\strawbwerry_12.jpg,5
Data\strawbwerry_13.jpg,5
Data\strawbwerry_14.jpg,5
Data\strawbwerry_15.jpg,5
Data\strawbwerry_16.jpg,5
Data\strawbwerry_17.jpg,5
Data\strawbwerry_18.jpg,5
Data\strawbwerry_19.jpg,5
Data\strawbwerry_20.jpg,5
Data\strawbwerry_21.jpg,5
Data\strawbwerry_22.jpg,5
Data\strawbwerry_23.jpg,5
Data\strawbwerry_24.jpg,5
Data\strawbwerry_25.jpg,5
Data\strawbwerry_26.jpg,5
Data\strawbwerry_27.jpg,5
Data\strawbwerry_28.jpg,5
Data\strawbwerry_29.jpg,5
Data\strawbwerry_30.jpg,5
Data\strawbwerry_31.jpg,5
Data\strawbwerry_32.jpg,5
Data\tomato_1.jpg,6
Data\tomato_2.jpg,6
Data\tomato_3.jpg,6
Data\tomato_4.jpg,6
Data\tomato_5.jpg,6
Data\tomato_6.jpg,6
Data\tomato_7.jpg,6
Data\tomato_8.jpg,6
Data\tomato_9.jpg,6
Data\tomato_10.jpg,6
Data\tomato_11.jpg,6
Data\tomato_12.jpg,6
Data\tomato_13.jpg,6
Data\tomato_14.jpg,6
Data\tomato_15.jpg,6
Data\tomato_16.jpg,6
Data\tomato_17.jpg,6
Data\tomato_18.jpg,6
Data\tomato_19.jpg,6
Data\tomato_20.jpg,6
Data\tomato_21.jpg,6
Data\tomato_22.jpg,6
Data\tomato_23.jpg,6
Data\tomato_24.jpg,6
Data\tomato_25.jpg,6
Data\tomato_26.jpg,6
Data\tomato_27.jpg,6
Data\tomato_28.jpg,6
Data\tomato_29.jpg,6
Data\tomato_30.jpg,6
Data\tomato_31.jpg,6
Data\tomato_32.jpg,6
